# Every result of one `yt-dlp ytsearch400:#ESAWinter21`, recorded
# 2026-09-01 for issue #75. This is the whole candidate set the
# event can offer, decoys and other years included - a harder set to
# rank than the six hits a live `ytsearch6:<game> #tag` returns, and
# one that costs no YouTube request to re-run.
video_id,duration,title
WUy1WQaJW1Q,16157,Final Fantasy XV: Royal Edition [Any% (No Ring)] by Kyoslilmonster - #ESAWinter21
J5tz9babC1U,2765,Super Mario All-Stars [Any% (All Four Games)] by BigJon - #ESAWinter21
s-Ovo4qQb20,14347,Pokémon X [Any%] by wartab - #ESAWinter21
ju5sNhw5YgQ,2110,Dark Souls [Any%] by catalystz - #ESAWinter23
Y4Qch-JL6Kw,1431,#ESAWinter19 Speedruns - Tetris Attack [V-Hard] by Wiredwicky
iSU5n7L2VnA,2291,RedCat Haunted Castle [Any%] by epicdudeguy - #ESAWinter23
PltdG9cD6GA,3209,Knuckles' Chaotix [Beat The Game] by Hibnotix - #ESAWinter21
n7253_TUgyg,1172,Bugsnax [Any%] by Addio98 - #ESAWinter21
zwAyENWrAZY,1249,Castlevania: Portrait of Ruin [Any%] by Diagon - #ESAWinter22
xbOBO2whUX4,1605,esa winter submission video world record embr in 17 and a few seconds
5E-jbA4RkkE,2532,Shovel Knight [NG+ (Specter Knight)] by Xerclipse - #ESAWinter21
8NzdJEuVdSM,637,Blazing Beaks [Any% (Set Seed)] by LoveBot - #ESAWinter21
3xDgXqzz5mU,18765,Final Fantasy VII Remake [Any% (Easy)] by Royzoga - #ESAWinter21
Ed7TyChPsZk,2992,The Wacky World of Miniature Golf [Cutscene%] by BigJon - #ESAWinter21
7NLPMtROrJo,2215,911 Fire Rescue [All Missions] by Kainalo - #ESAWinter21
-9S3ULVq4Z4,472,Harlequin [Any% Credits Warp] by Robo_Sparkle - #ESAWinter21
Cq-6MONu_CY,5624,Nioh [All Main Missions (Vanilla)] by Galasrinie - #ESAWinter21
i2AF9Oj3v8g,4840,The Legend of Zelda: Link's Awakening (2019) [Any%] by Strackel and Miniretin - #ESAWinter21
Pe_yfV-6eJE,1185,Sonic Spinball [Beat The Game] by Argick - #ESAWinter21
rNbYBBMJb2w,2090,Ultimate Doom [Episodes 1-4 (UV Speed)] by RedW4rr10r - #ESAWinter22
9xowWkGTzeM,2965,Hylics 2 [Any%] by RJsmangit - #ESAWinter21
m2zxxMj3glk,4271,"Minecraft [Any% (1.16, Random Seed, Glitchless)] by Juh0rse - #ESAWinter21"
4cj8O4OcZsE,349,Elmo's ABCs [Any%] by Juh0rse - #ESAWinter21
v-YEpIiXtMA,2605,Looney Tunes: Taz Express [Any%] by Pottoww - #ESAWinter20
fe51Qk7--lA,2982,M&M's: Shell Shocked [Any%] by KingRhodesTN - #ESAWinter21
eN764mipuTk,2537,Cuphead [One Gun] by Kirthar - #ESAWinter20
yFBOFv_GYro,3050,"Smash TV [1 Player, 4 Controllers] by CHX42 - #ESAWinter21"
xpB2BMB5d6Q,1570,#ESAWinter18 Speedruns - Cuphead [Simple] by Truljin
-hllh29M_4U,2400,"#ESAWinter19 Speedruns - Cuphead [All Bosses - Regular, Legacy] by kalevan_herra, Kirthar and TwoCPl"
8rIgl9YevWU,1908,Mega Man [Any%] by TempestMask1000 - #ESAWinter23
QjvQT5h_s80,1221,Paint the Town Red [100%] by trident - #ESAWinter22
LM946N--mo8,1652,"Prince of Persia [Any% (DOS, Glitchless)] by 7eraser7 - #ESAWinter21"
U80CaR1u7Bs,3581,Grand Theft Auto: Vice City – The Definitive Edition [Any%] by kz_frew - #ESAWinter22
sXMBfnhV2vc,19837,#ESAWinter19 Speedruns - The Legend of Zelda: The Wind Waker HD [Glitchless] by AEtienne
uhdXdv2NxsY,8147,"Airplane Mode [JFK - KEF (Normal, $25%)] by Kainalo - #ESAWinter22"
5fESfN4QVtY,1263,Maui Mallard in Cold Shadow [Any%] by Kirthar - #ESAWinter21
BNyBZyWEusQ,1749,"Sonic The Hedgehog 3 [NG+ (Sonic, Glitchless)] by huds601 - #ESAWinter23"
sGBZbGtae-w,8278,Pokémon Red [Any% Glitchless] by KonceptioN2 - #ESAWinter20
fxAUw5Y_r6g,8238,"Yakuza 3 [Any% (Easy, Remastered)] by RebelDragon95 - #ESAWinter21"
XRwAZ5visLg,3450,#ESAWinter19 Speedruns - Deltarune [Any% NG+] by yisk
QP17w13eegc,13076,Samurai Jack - ESA Winter 2024 Practice - Day 4
kyZItq3V5IM,410,Skate or Die [Compete All] by janglestorm - #ESAWinter21
kfgfxPXTLPU,7912,Grand Theft Auto III Toughened Speedrun - ESA Winter 2022
3yj4XNGUTss,1331,Dust: An Elysian Tail [Any% (Warps)] by Murtag - #ESAWinter20
1M2oIGoL8Mg,2274,"I Wanna Be The Boshy [Any% (Average, Dark Boshy, No Wrong Warp)] by BBF_ - #ESAWinter21"
myq-Ftcsz84,1957,#ESAWinter19 Speedruns - Super Amazing Wagon Adventure [Any%] by KennyMan666
7pUQx4g9miA,976,Ninja Gaiden Shadow [Any%] by ShuriBear - #ESAWinter21
L1bX7CTMwfs,1901,#ESAWinter19 Speedruns - Q.U.B.E. 2 [Lost Orbit DLC (All Chambers)] by Fatzke and eTholon
kI_SV27ewTI,946,#ESAWinter18 Speedruns - Forward To The Sky [Any%] by PurkisM
1A6uMIVAYFM,3984,Touhou: Scarlet Curiosity [Remilia (True Ending)] by Naro - #ESAWinter21
SDfie8cfkP0,2312,Skies of Arcadia: Legends (PRE-SHOW) [100%] by Pengyy - Part 6/6 - #ESAWinter21
kiUS4ZCTw6g,2301,Cat Quest [Any% (Old Patch)] by UnintendedChaos - #ESAWinter24
mhxGi8ndV8Q,2833,"#ESAWinter19 Speedruns - Cuphead [All Bosses - Regular, Current Patch] by kalevan_herra"
nZE2U8abB5k,3795,#ESAWinter19 Speedruns - Mario Party [Mini-Game Island Any%] by 360Chrism and Fuzzyness
g2p1L9okYaQ,4940,Metal Gear Ghost Babel [Any% (Easy)] by CDOSKEZ - #ESAWinter21
8CqMKdhoWJA,4177,#ESAWinter19 Speedruns - Crash Bandicoot: N. Sane Trilogy [Crash 3 any%] by Murcaz
Q-q4WaYuKpI,2313,Anodyne [Any% (Tutorial Showcase)] by robisar01 - #ESAWinter24
fnjRr7hTTzk,1718,Sonic CD (2011) [Tails: All Good Futures] by flying_fox - #ESAWinter21
zSNiQhfWPDU,1620,Wizards & Warriors III: Kuros: Visions of Power [Any%] by marquisdan - #ESAWinter21
CfT3F7otIOU,2499,Super Castlevania IV [Any%] by Tinnue - #ESASummer21
QbrJfgl8htY,2411,Mega Man Atari Demake [Any%] by BigJon - #ESAWinter21
2kh198FciUA,7800,Bee Movie Game [Any%] by BlackbeltGingaNinja - #ESAWinter21
2QxrMYFY0HI,5242,Tail Concerto [Any% (NTSC-J)] by Rom_Stein - #ESAWinter21
FfgxQ20jVeg,5064,#ESAWinter19 Speedruns - Danger Zone [Any%] by Makkebakke
-kkpqHycXTk,14464,Skies of Arcadia: Legends (PRE-SHOW) [100%] by Pengyy - Part 5/6 - #ESAWinter21
Mj_yg6SEDb0,1577,Pooh and Tigger's Hunny Safari [Beat The Game (Easy)] by Rasschla - #ESAWinter23
YRLtaUB_GNc,772,Hotline Miami 2: Wrong Number [Hard Mode] by AshmoreKidd - #HEK21 (2)
55WM8KbRXWI,2223,"Cuphead [Low% (Regular, Legacy)] by Kirthar - #ESAWinter22"
8056ztNAZ1I,9148,"ESA Winter 2023 • Yu-Gi-Oh! Forbidden Memories 15-card, No RNG Manip, any% Speedrun"
o-FCvDFUvxI,4978,#ESAWinter19 Speedruns - FAR: Lone Sails [Any% Pre-Patch] by SoberCorewin
zngqyAyuxos,4519,The Legend of Zelda: A Link to the Past [Randomizer (Co-op)] by Xita and Wiredwicky - #ESAWinter21
AnbSzuUpbHU,1414,#ESAWinter19 Speedruns - Pokémon Red/Blue [Any% No Save Corruption] by G3neziz
FByM8Z9_Vp8,249,ESA Winter Classes
He9Kmn2VAM8,2826,"Resident Evil 1 [Any% (Jill, NMG)] by xSHiiDOx - #ESAWinter20"
0s27Xvl33cg,2183,#ESAWinter18 Speedruns - Beyblade VForce: Ultimate Blader Jam [Any%] by 360Chrism
LfSsBxyXc14,2839,Ori and the Blind Forest [Randomizer (All Skill Locations)] by Covert_Muffin - #ESAWinter21
ZXes_wDMWN0,4961,"Devil May Cry 4: Special Edition [NG (Nero / Dante, Devil Hunter)] by Mekarazium - #ESAWinter21"
e53SufpKYdU,414,ESA Winter 2022
