# What resolve picks for every row of horaro's 2024-summer out of
# esa-summer-2024-vods.csv. Checked by eye against the titles when it was
# written, for issue #75 (event backfilled in #45).
uuid,game,category,video_id,tier,title
0e81493a-7117-4979-a21e-bf5e473740f9,The Legend of Zelda Ocarina of Time Beta Quest,Battleship Bingo,MV-2HflPXKs,tag-game-runner,The Legend of Zelda Ocarina of Time Beta Quest [Battleship Bingo] by BaalNocturno - #ESASummer24
e125a214-3c77-4ce8-b5a7-34570c9b43e8,Elden Ring,2 Player 1 Controller Any% Randomizer,aCz27Ql7scA,tag-game-runner,Elden Ring [2 Player 1 Controller Any% Randomizer] by catalystz and Puppery - #ESASummer24
53ab1de3-7250-4cbd-87c6-bd8e7e20703f,End of day 4,,ihKfreAoBso,weak,Mega Man 2 Relay Race (any%) - #ESASummer24
33bde7e7-0b67-4eb2-8094-8533db51908f,Colin McRae Rally 2.0,"Championship (Novice, Standard Cars)",XV1yWa1kyFw,tag-game-runner,"Colin McRae Rally 2.0 [Championship (Novice, Standard Cars)] by Cousin - #ESASummer24"
76867f84-8352-4564-aa96-8370eca9cded,ActRaiser,Any%,UcWK7zUHlsY,tag-game-runner,ActRaiser [Any%] by sYn - #ESASummer24
488017e9-8d3e-49c2-b1ff-8b4b162d50bc,Bishoujo senshi sailor moon,Easy,fUA3GRdFjHw,tag-game-runner,Bishoujo senshi sailor moon [Easy] by JkL0ser - #ESASummer24
5a1718fc-0f7c-4e2b-af8f-a11372b3dec5,Touhouvania 2,Hard,ioM5SHPQajM,tag-game-runner,Touhouvania 2 [Hard] by Shadax - #ESASummer24
5f497b32-d468-4ba7-89f5-075afa6b200b,Halo 3,Easy,LHoVA_JNLT0,weak,Home Alone 2 [Any%] by ScarfaceNico - #ESASummer24
b5f810ea-4a87-476e-bc06-e66c5313b165,Unreal: Return to Na Pali,Any%,AbTU-SkUW_A,tag-game-runner,Unreal: Return to Na Pali [Any%] by Myths - #ESASummer24
97dafe8f-6dd4-4b0c-bfa0-74c8ecd020b7,Lemma,any%,SOwgfdpgASo,tag-game-runner,Lemma [any%] by Drunkenshoe - #ESASummer24
37182fcc-d7fe-4665-b75a-5d15dec85e07,Clustertruck,twitch%,wBSqpNxtfLk,tag-game-runner,Clustertruck [Twitch%] by Heinki - #ESASummer24
704aede3-51d9-4de4-af15-57cb49b4dfef,The Lord of the Rings: The Third Age,Full Game Any% Glitchless,S6scrO1v61Q,tag-game-runner,The Lord of the Rings: The Third Age [Full Game Any% Glitchless] by Deano95HD - #ESASummer24
b6894a74-481a-4d51-a33c-3df55f0925b4,Sly Cooper and the Thievius Raccoonus,Any%,vs1ZMebVkH4,weak,Grand Theft Auto: San Andreas [Any% No Major Glitches] by Joshimuz - #ESASummer24
e34659d8-9017-4104-99d9-d53b1c6b10b7,The Legend of Zelda: A Link to the Past Randomizer,Pilot Spoiler Keysanity,L5ls7utzD-Y,tag-game,The Legend of Zelda: A Link to the Past Randomizer [Pilot Spoiler Keysanity] - #ESASummer24
8f9d987e-cfe0-4531-8145-e427256cd04a,Hades,Seeded AnyHeat (Routed),kURMZ-lbT-U,tag-game-runner,Hades [Seeded AnyHeat (Routed)] by SatanIsAChillGuy - #ESASummer24
2fde64e1-7db6-443b-a30f-796a6dbdc684,Super Mario Sunshine,1vs.1 Lockout Bingo,2irX30c1vi4,tag-game-runner,Super Mario Sunshine [1vs.1 Lockout Bingo] by peaches and RSW - #ESASummer24
70ef970a-9d60-4fdd-802d-2258a26311d0,End of day 5,,ihKfreAoBso,weak,Mega Man 2 Relay Race (any%) - #ESASummer24
db08b00e-dbfa-4178-8d04-126d6bf54f5e,Sonic Suggests,Any% Tutorial,ZRtK-a6O3CQ,tag-game-runner,Sonic Suggests [Any% Tutorial] by ChZdk and DreeGon - #ESASummer24
84463617-8662-4d4f-8a63-5e1ed31144b2,Sonic Adventure DX: Director's Cut,Sonic's Story,C2-04i_zt9k,tag-game-runner,Sonic Adventure DX: Director's Cut [Sonic's Story] by DreeGon - #ESASummer24
88028f97-ef2f-4b0d-a8f6-9a82f441e0cf,Sonic Adventure DX: Director's Cut,Amy's Story,yjTySRhIQz0,tag-game-runner,Sonic Adventure DX: Director's Cut [Amy's Story] by ChZdk - #ESASummer24
ae25eeaa-2ae8-462b-bd70-4e35a14af09d,Hotline Miami 2: Wrong Number,Hard Mode,Un2dIscpNcw,tag-game-runner,Hotline Miami 2: Wrong Number [Hard Mode] by jackyrite - #ESASummer24
