# What resolve picks for every row of horaro's 2021-winter out of
# esa-winter-2021-vods.csv. Checked by eye against the titles when it was
# written, for issue #75 (event backfilled in #52).
uuid,game,category,video_id,tier,title
8d7ce5b37a19ed327f764a78,911 Fire Rescue,All Missions,7NLPMtROrJo,tag-game-runner,911 Fire Rescue [All Missions] by Kainalo - #ESAWinter21
6ebce3dbdf98766fdc95d1f9,Baby Shark VR Dancing,Any%,rVJbJAxJE-c,tag-game-runner,Baby Shark VR Dancing [Any%] by Kainalo - #ESAWinter21
f68a7d15617d884cc90672b8,Krum - Edge of Darkness,Any%,Vcdi5TxYtBM,tag-game-runner,Krum - Edge of Darkness [Any%] by havrd - #ESAWinter21
bab4071d1d0e81fccf267fba,Unearthed: Trail of Ibn Battuta,Any%,-43XSRvGAlA,tag-game-runner,Unearthed: Trail of Ibn Battuta [Any%] by Hibnotix - #ESAWinter21
7c4d6f6c7d3f2eaee8101d27,Prince of Persia,"Any% (DOS, Glitchless)",LM946N--mo8,tag-game-runner,"Prince of Persia [Any% (DOS, Glitchless)] by 7eraser7 - #ESAWinter21"
6759d2b4aa3caabfde7f5659,Yakuza 3,"Any% (Easy, Remastered)",fxAUw5Y_r6g,tag-game-runner,"Yakuza 3 [Any% (Easy, Remastered)] by RebelDragon95 - #ESAWinter21"
48c225a1d07257c269730db0,SAW: The Game,Any%,5Ke-F6_q7oI,tag-game-runner,SAW: The Game [Any%] by Juh0rse - #ESAWinter21
a7569bf70591ff4f46c49447,Elmo's ABCs,Any%,4cj8O4OcZsE,tag-game-runner,Elmo's ABCs [Any%] by Juh0rse - #ESAWinter21
6486d6b172853c541728fa68,Resident Evil 5,"NG (Amateur, Co-op)",biQzNID6RLE,tag-game-runner,"Resident Evil 5 [NG (Amateur, Co-op)] by Gidano and ThatAccountBlaBlaBla - #ESAWinter21"
433a6908352d2d8de0828044,Grim Fandango: Remastered,Any%,LCs2iq9xd-s,tag-game-runner,Grim Fandango: Remastered [Any%] by KonceptioN2 - #ESAWinter21
06532522896710e5f10de3d4,Crash Bandicoot 4: It's About Time,Any%,23dX0RPPO-c,tag-game-runner,Crash Bandicoot 4: It's About Time [Any%] by Damosk - #ESAWinter21
00c71a38435720a99f5f9210,Devil May Cry 2,NG (Dante),5aWsNTjSAdw,tag-game-runner,Devil May Cry 2 [NG (Dante)] by LonerHero - #ESAWinter21
5f9c8d8aac43de8953a7cb72,Crash: Mind Over Mutant,Any%,3rwsAvQbmOE,tag-game-runner,Crash: Mind Over Mutant [Any%] by CDRomatron - #ESAWinter21
0b9c16f7477e80a88f89c51f,Pikmin 3 Deluxe,Any%,h14ld_ySar4,tag-game-runner,Pikmin 3 Deluxe [Any%] by RDVvsTheWorld - #ESAWinter21
0982449716908b0482d8b07a,Donkey Kong Country 2: Diddy's Kong Quest,Any%,eRjyOPwxFOQ,tag-game-runner,Donkey Kong Country 2: Diddy's Kong Quest [Any%] by Niakky - #ESAWinter21
fa221db34947ba2bec5fceec,Metal Gear Ghost Babel,Any% (Easy),g2p1L9okYaQ,tag-game,Metal Gear Ghost Babel [Any% (Easy)] by CDOSKEZ - #ESAWinter21
c23a247ea893d67a12907933,Tail Concerto,Any% (NTSC-J),2QxrMYFY0HI,tag-game-runner,Tail Concerto [Any% (NTSC-J)] by Rom_Stein - #ESAWinter21
29e58360385f0a2535edd22f,The Outer Worlds,Max Quests,kyZItq3V5IM,weak,Skate or Die [Compete All] by janglestorm - #ESAWinter21
83dc0d2614ef5eae1fbed266,Fallout 3,All Quests (w/ DLC) & Bobbleheads,2ZckF5PXeIk,tag-game-runner,Fallout 3 [All Quests (w/ DLC) & Bobbleheads] by Jabo - #ESAWinter21
d838a8f6b79f1110b7a5ea2c,Fallout 3,Any%,NCvgN4_hW9M,tag-game-runner,Fallout 3 [Any%] by bananapegasus - #ESAWinter21
8334d293bfa77445acbdeb75,Tetris: The Grand Master,Master Mode,MpsRzhuuCSo,tag-game-runner,Tetris: The Grand Master [Master Mode] by FreyasSpirit - #ESAWinter21
a1e7276cf694615c8a32133c,Smash TV,"1 Player, 4 Controllers",yFBOFv_GYro,tag-game-runner,"Smash TV [1 Player, 4 Controllers] by CHX42 - #ESAWinter21"
ada953fb73e2a4032388db3d,Metroid,Any%,IqzkoJDaEAA,tag-game-runner,Metroid [Any%] by CHX42 - #ESAWinter21
c8d06b1b11e1d003c864b556,Mega Man Atari Demake,Any%,QbrJfgl8htY,tag-game-runner,Mega Man Atari Demake [Any%] by BigJon - #ESAWinter21
4b2bcd0126ba1d4f06df8681,Splatterhouse,Any%,kyZItq3V5IM,weak,Skate or Die [Compete All] by janglestorm - #ESAWinter21
2cc5e44d7b08b80c78b98a45,Wizards & Warriors III: Kuros: Visions of Power,Any%,zSNiQhfWPDU,tag-game-runner,Wizards & Warriors III: Kuros: Visions of Power [Any%] by marquisdan - #ESAWinter21
