# Every result of one `yt-dlp ytsearch400:#ESASummer24`, recorded
# 2026-09-01 for issue #75. This is the whole candidate set the
# event can offer, decoys and other years included - a harder set to
# rank than the six hits a live `ytsearch6:<game> #tag` returns, and
# one that costs no YouTube request to re-run.
video_id,duration,title
3x-J12eJrCs,6726,Star Wars Jedi: Fallen Order [Any%] by cageking2 - #ESASummer21
SW_-bakOwaI,3927,"Knytt Stories [Deep Freeze (Any%, No Major Skips)] by DonDoli - #ESASummerOnline"
hFt8yFEIrqY,935,Super C [Any%] by TypicalFantasyX - #ESASummer24
rhTqDa2sSWY,5313,Super Mario Bros. 3 [100% Coop] by Lui and AliceHK8 - #ESASummer24
YZBRqCIODPE,3232,Crash Nitro Kart [Any%] by hypnoshark - #ESASummerOnline
lMR8VCla1PQ,2597,Bluey: The Videogame [Any%] by hsblue - #ESASummer24
6qPWdJKtOtU,3047,Baldur's Gate 3 [Any% All Acts] by Chronos - #ESASummer24
q-dYjvB4miM,204,ESA Summer 2022 HEK block intro video with crowd reaction
FEabiuJ_rAE,2421,TrackMania [Training & Summer 2020] by Riolu - #ESASummerOnline
T26b5E441uU,3653,The Legend of Zelda: Breath of the Wild [Any% (Bug Limit)] by AEtienne - #ESASummer21
m2J52WZcXzo,2749,Funk Unplugged [Any%] by Kythol - #ESASummerOnline
CBIq5ghS85A,4695,Bloodborne [All Bosses] by Ahady - #ESASummerOnline
iWSjLFs4I9g,5297,Secret of Evermore [Any%] by colinbolts - #ESASummerOnline
OO8GZnJdv6E,2248,LEGO Star Wars: The Complete Saga (DS) [Any%] by LaserTrap_ - #ESASummerOnline
AelbzXvpEio,3527,Star Wars Battlefront II (Classic 2005) [Any% with bonuses] by CaptainEmu - #ESASummer24
6EhGNLR7izI,10527,Pokémon Platinum [Any%] by linewashere and Rubentus - #ESASummer24
wBSqpNxtfLk,2001,Clustertruck [Twitch%] by Heinki - #ESASummer24
ioM5SHPQajM,1102,Touhouvania 2 [Hard] by Shadax - #ESASummer24
DqfHsgqB_2o,957,"King's Quest VI: Heir Today, Gone Tomorrow [Any%] by Joka - #ESASummer24"
Un2dIscpNcw,3446,Hotline Miami 2: Wrong Number [Hard Mode] by jackyrite - #ESASummer24
uah1H82hSKo,4104,Dead Rising 2 [TimeSkip (NG)] by SweedOla - #ESASummer23
O_A8RP3zerk,2572,Dark Souls [Any%] by catalystz - #ESASummerOnline
Iwr48SYp85g,412,Takeshi's Challenge [Any%] by lucha_gym - #ESASummer24
BWyxd1tSE4c,2750,Final Fantasy Adventure [Any%] by BOWIEtheHERO - #ESASummerOnline
gx-2Af2psNY,723,Anger Foot (itch.io) [NG+] by sajiki - #ESASummer24
gdx1edQk0y4,2382,Biped [Any%] by SunnymuffinHS - #ESASummerOnline
