Scheduled;Game;Players;Platform;Category;Categories;Twitch;Time;Event;Youtube
2020-07-28T23:56:00+02:00;Super Calm Bros. 3;[TheHaxor](https://www.twitch.tv/thehaxor);NES;100%;;;0:36:57;ESA 2020 Summer Online;Pbbey29twS4
2020-07-29T04:40:00+02:00;Funk Unplugged;[Kythol](https://www.twitch.tv/kythol);PC;Any%;;;0:42:20;ESA 2020 Summer Online;m2J52WZcXzo
2020-07-29T14:47:00+02:00;The Legend of Zelda: Skyward Sword;[Kitcot6](https://www.twitch.tv/kitcot6);Wii;Any%;;;1:31:39;ESA 2020 Summer Online;rWsXRzenFpE
2020-07-29T21:07:00+02:00;Knytt Stories;[DonDoli](https://www.twitch.tv/dondoli);PC;Deep Freeze (Any%, No Major Skips);;;0:54:46;ESA 2020 Summer Online;SW_-bakOwaI
2020-07-30T02:54:00+02:00;Quake;[Elgu_](https://www.twitch.tv/elgu_);PC;Easy Run;;;0:15:18;ESA 2020 Summer Online;7ra890ujvzI
2020-07-30T10:42:00+02:00;Yakuza 0;[FroobMcGuffin](https://www.twitch.tv/froobmcguffin);PC;Any%;;;3:58:51;ESA 2020 Summer Online;x-tDHfeoWVA
2020-07-30T20:02:00+02:00;River City Ransom;[yelsraek](https://www.twitch.tv/yelsraek);NES;Novice;;;0:07:26;ESA 2020 Summer Online;TXfeO1xe--o
2020-07-31T04:25:00+02:00;Pokémon Sword / Shield;[eddaket](https://www.twitch.tv/eddaket);Switch;Tower of Two Fists (Good Ending);;;1:36:39;ESA 2020 Summer Online;35QMLpQt46A
2020-07-31T13:23:00+02:00;Tomb Raider;[Beckski93](https://www.twitch.tv/beckski93);PC;Any%;;;1:09:09;ESA 2020 Summer Online;Z8dvc6JUjP8
2020-07-31T18:34:00+02:00;SSX 3;[Daggy898](https://www.twitch.tv/Daggy898);Gamecube;All Single Events (Platinum);;;0:39:50;ESA 2020 Summer Online;M3y7kOGRdqk
2020-08-01T02:03:00+02:00;EAT GIRL;[frozenflygone](https://www.twitch.tv/frozenflygone);PC;Any% ;;;0:11:00;ESA 2020 Summer Online;B_qoLQe8ngM
2020-08-01T09:00:00+02:00;Destruction Derby 2;[TweedyJono](https://www.twitch.tv/tweedyjono);PS1;All Races (Stock Car);;;0:49:23;ESA 2020 Summer Online;710HtEmQv-o
2020-08-02T00:21:00+02:00;Metroid: Return to Zebes;[LinkaMeister](https://www.twitch.tv/linkameister);GBA;100%;;;0:24:36;ESA 2020 Summer Online;92WRdcFTtew
2020-08-02T03:59:00+02:00;Rockman 6: Unique Harassment;[Kuumba_](https://www.twitch.tv/kuumba_);NES;Any%;;;0:44:35;ESA 2020 Summer Online;dieI1xkmeeI
2020-08-02T10:45:00+02:00;The Immortal;[Eriphram](https://www.twitch.tv/eriphram);NES;Any%;;;0:17:22;ESA 2020 Summer Online;f28Z7fOOJpE
2020-08-02T14:00:00+02:00;Contra;[TheMexicanRunner](https://www.twitch.tv/themexicanrunner);NES;Any%;;;0:11:05;ESA 2020 Summer Online;uEbSw79qItM
2020-08-02T21:50:00+02:00;Super Mario Odyssey;[Dangers](https://www.twitch.tv/dangers);Switch;World Peace;;;1:16:11;ESA 2020 Summer Online;ykOfvAAElw8
2020-07-24T18:11:00+02:00;Need for Speed Heat;[KuruHS](https://www.twitch.tv/kuruhs);PC;Any% (w/ DLC);;;1:48:45;ESA 2020 Summer Online;a2RmWQQxF0M
2020-07-25T01:55:00+02:00;Super Mario Bros.: The Lost Levels;[Tecate](https://www.twitch.tv/tecate);FDS;Any% (8-4, Mario);;;0:10:16;ESA 2020 Summer Online;KXNUVwnCdbE
2020-07-25T08:40:00+02:00;Bayonetta;[Galasrinie](https://www.twitch.tv/galasrinie);PC;Any% (Normal, No Infinite Flute Glitch);;;1:48:15;ESA 2020 Summer Online;OXskBb1M83Q
2020-07-25T18:13:00+02:00;Metroid: Zero Mission;[Bubzia](https://www.twitch.tv/bubzia);GBA;Any% (Normal, Blindfolded);;;1:30:50;ESA 2020 Summer Online;2oJwrnziHkU
2020-07-26T02:18:00+02:00;Nier Automata;[Kyoslilmonster](https://www.twitch.tv/kyoslilmonster);PC;Any%;;;1:34:20;ESA 2020 Summer Online;DtwLI6QpUco
2020-07-27T07:25:00+02:00;Attack on Titan 2: Final Battle;[FroobMcGuffin](https://www.twitch.tv/froobmcguffin);PC;Any% (Season 3);;;1:07:40;ESA 2020 Summer Online;C6NO0QzUyro
2020-07-27T18:34:00+02:00;Munch Mobile;[EeroKurkisuo](https://www.twitch.tv/eerokurkisuo);Arcade;Score Demonstration;;;0:17:50;ESA 2020 Summer Online;5JVTXAZ-iTM
2020-07-27T22:03:00+02:00;Goat Simulator;[Maygikal](https://www.twitch.tv/maygikal);PC;Trophies (Base Game, No Mutators);;;0:20:00;ESA 2020 Summer Online;b6KFoiXtT_s
2020-07-28T01:52:00+02:00;Sonic 3: Angel Island Revisited;[flying_fox](https://www.twitch.tv/flying_fox);PC;Knuckles & Tails (NG+, Glitchless);;;0:41:43;ESA 2020 Summer Online;Ij1e0fZORMw
