Scheduled;Game;Players;Platform;Category;Categories;Twitch;Time;Event;Youtube
2021-02-20T14:01:00+01:00;Bugsnax;[Addio98](https://www.twitch.tv/Addio98);PC;Any%;;;0:15:49;ESA 2021 Winter;n7253_TUgyg
2021-02-20T19:59:00+01:00;Mega Man Ultra;[Kuumba_](https://www.twitch.tv/Kuumba_);NES;Any%;;;0:37:49;ESA 2021 Winter;clZj3XvouoE
2021-02-21T00:47:00+01:00;Sonic Spinball;[Argick](https://www.twitch.tv/Argick);Genesis;Beat The Game;;;0:16:10;ESA 2021 Winter;Pe_yfV-6eJE
2021-02-13T18:25:00+01:00;Hyper Light Drifter;[Covert_Muffin](https://www.twitch.tv/Covert_Muffin);PC;Any% (NMG, Alt);;;0:29:40;ESA 2021 Winter;BemQ5ft_XmI
2021-02-13T23:01:00+01:00;Super Mario 64;[PeekingBoo](https://www.twitch.tv/PeekingBoo);N64;16 Star (Dance Pad);;;0:27:08;ESA 2021 Winter;4ks0kz4d7vc
2021-02-14T07:08:00+01:00;Grand Theft Auto 2;[Tezur0](https://www.twitch.tv/Tezur0);PC;All Missions;;;3:11:35;ESA 2021 Winter;pKdolxuMTdY
2021-02-14T12:43:00+01:00;Taz-Mania;[Grumpmeister](https://www.twitch.tv/Grumpmeister);Game Gear;Any%;;;0:08:19;ESA 2021 Winter;GQpc6eBJXWo
2021-02-14T15:00:00+01:00;Knuckles' Chaotix;[Hibnotix](https://www.twitch.tv/Hibnotix);Genesis;Beat The Game;;;0:47:41;ESA 2021 Winter;PltdG9cD6GA
2021-02-14T21:44:00+01:00;Blazing Beaks;[LoveBot](https://www.twitch.tv/LoveBot);PC;Any% (Set Seed);;;0:06:17;ESA 2021 Winter;8NzdJEuVdSM
2021-02-15T01:55:00+01:00;Castlevania: Dawn of Sorrow;[Diagongdx](https://www.twitch.tv/Diagongdx);Nintendo 3DS;All Bosses (No Memory Corruption);;;0:42:48;ESA 2021 Winter;SeqdKQQSNuk
2021-02-15T14:23:00+01:00;Pikuniku;[GreenSnowDog](https://www.twitch.tv/GreenSnowDog);PC;Any%;;;0:44:35;ESA 2021 Winter;B6CfzgbPh7g
2021-02-15T19:16:00+01:00;Resident Evil 2 (2019);[MattRPD](https://www.twitch.tv/MattRPD);PC;Claire B;;;0:59:06;ESA 2021 Winter;xb8wCvg_YyU
2021-02-16T02:23:00+01:00;Darksiders;[henyK](https://www.twitch.tv/henyK);PC;All Chosen Bosses;;;1:25:34;ESA 2021 Winter;w_SrMlIurjA
