Scheduled;Game;Players;Platform;Category;Categories;Twitch;Time;Event
Fri 27 Jul 2018 01:04:00 +0200;[Strider](https://www.speedrun.com/stridernes);[COOLKID](https://www.twitch.tv/coolkid);NES;Any%;;289620524;0:04:10;ESA 2018 (Stream One)
Fri 27 Jul 2018 01:22:00 +0200;[Demon's Crest](https://www.speedrun.com/Demons_Crest);[BroedgeMan](https://www.twitch.tv/broedgeman);SNES;100%;;289637644;0:43:43;ESA 2018 (Stream One)
Fri 27 Jul 2018 02:17:00 +0200;[Ratchet: Deadlocked](https://www.speedrun.com/rac4);[Mucke1Man](https://www.twitch.tv/mucke1man);PS3;Any% (NG+ no EGS);;289302106?t=21h41m27s;0:44:10;ESA 2018 (Stream One)
Fri 27 Jul 2018 03:12:00 +0200;[Dishonored 2](https://www.speedrun.com/Dishonored_2#Any);[Scopii](https://www.twitch.tv/kwscopii);PC;Corvo Any%;;289672169;0:32:51;ESA 2018 (Stream One)
Fri 27 Jul 2018 03:52:00 +0200;[Dishonored: Death of the Outsider](https://www.speedrun.com/dishonored_doto);[Scopii](https://www.twitch.tv/kwscopii);PC;Any%;;289683216;0:16:04;ESA 2018 (Stream One)
Fri 27 Jul 2018 04:20:00 +0200;[The Witness](https://www.speedrun.com/thewitness);[tzann](https://www.twitch.tv/tzann);PC;Any% (Current Patch);;289693299;0:17:08;ESA 2018 (Stream One)
Fri 27 Jul 2018 04:40:00 +0200;[Pokémon Platinum](https://www.speedrun.com/pkmnplat/full_game#Any);[Retrotato](https://www.twitch.tv/Retrotato);DS;Any%;;289744431;3:00:00;ESA 2018 (Stream One)
Fri 27 Jul 2018 08:05:00 +0200;[Solar Jetman](https://www.speedrun.com/Solar_Jetman);[TheMotherBrain86](https://www.twitch.tv/TheMotherBrain86);NES;Any%;;289751401;0:27:30;ESA 2018 (Stream One)
Fri 27 Jul 2018 08:55:00 +0200;[Taz-Mania](https://www.speedrun.com/taz_mania_sms);[COOLKID](https://www.twitch.tv/coolkid)|[KrazyRasmus](https://www.twitch.tv/krazyrasmus);Master System;Any%;Race;289755032;0:10:37;ESA 2018 (Stream One)
Fri 27 Jul 2018 09:20:00 +0200;[Yume Penguin Monogatari](https://www.speedrun.com/ypm);[CartinaCow](https://www.twitch.tv/cartinacow)|[EndySWE](https://www.twitch.tv/endyswe);NES;Any%;Race;289758497;0:10:35;ESA 2018 (Stream One)
Fri 27 Jul 2018 09:42:00 +0200;[Super Metroid](https://www.speedrun.com/supermetroid#100);[Enmet](https://www.twitch.tv/enmet);SNES;100%;;289773628;1:24:14;ESA 2018 (Stream One)
Fri 27 Jul 2018 11:17:00 +0200;[Kirby Super Star Ultra](https://www.speedrun.com/kssu);[Kinnin11](https://www.twitch.tv/kinnin11);DS;100%;;289302106?t=31h10m01s;2:10:06;ESA 2018 (Stream One)
Fri 27 Jul 2018 14:00:00 +0200;[Super Mario 64](https://www.speedrun.com/sm64#70_Star);[Fuzzyness&Friends](https://youtu.be/1wf0HRUYspM);Wii;70 Star Relay Race;Race;289836435;2:29:41;ESA 2018 (Stream One)
Fri 27 Jul 2018 16:37:00 +0200;[Mirror's Edge](https://www.speedrun.com/me#1001);[Phillotrax](https://www.twitch.tv/phillotrax);PC;100%;;289848250;0:43:36;ESA 2018 (Stream One)
Fri 27 Jul 2018 17:37:00 +0200;[Dark Souls](https://www.speedrun.com/darksouls#All_Bosses);[Kahmul78](https://www.twitch.tv/kahmul78);PC;All Bosses;;289874747;1:23:34;ESA 2018 (Stream One)
